"","country_id","country","year","milspend_pc","pop","imports","realgdp_pc","realgdpgrowth_pc"
"1",1,"Bahrain",2003,662.966230659977,778256,9724688834.3245,22348.9048094348,0.0220824336370515
"2",1,"Bahrain",2004,638.20775740508,833451,9820558947.62405,22325.7030750547,-0.00103815979252397
"3",1,"Bahrain",2005,569.116222308191,901921,10663920702.5912,22027.331306682,-0.0133644959520257
"4",1,"Bahrain",2006,591.362887285719,970981,10944846316.4028,21783.8515343462,-0.0110535302232433
"5",1,"Bahrain",2007,617.523720067583,1040532,11431048727.1398,22013.7584157719,0.0105540051566735
"6",1,"Bahrain",2008,648.400366833166,1110343,13465489405.7063,21918.0050610342,-0.00434970498581899
"7",1,"Bahrain",2009,702.182697709618,1179453,11692672194.3748,21157.7934203336,-0.0346843446099985
"8",1,"Bahrain",2010,694.452783916359,1213645,13716222340.0243,21452.9215198243,0.013948907318807
"9",1,"Bahrain",2011,852.677378003105,1212077,19389521517.1438,21906.7464253804,0.0211544569879085
"10",1,"Bahrain",2012,965.093650429801,1224939,24760643222.0999,22484.8548156338,0.0263895139436874
"11",1,"Bahrain",2013,1068.11066177902,1261673,25527771246.6485,23012.7083415266,0.0234759588274407
"12",1,"Bahrain",2014,1125.18320587126,1311134,23642093576.546,23107.9565925844,0.00413894139030679
"13",1,"Bahrain",2015,1058.64240042209,1362142,22301861702.1277,22795.4488576612,-0.013523815213652
"14",2,"Ecuador",2003,55.5589637734505,13301184,12549733157.5466,4463.59718352141,0.00942184171446336
"15",2,"Ecuador",2004,52.4581714426138,13534593,13914755307.6221,4746.80717276471,0.0634488233590718
"16",2,"Ecuador",2005,69.2809853760476,13770012,15917831698.2718,4912.52749083596,0.0349119549287964
"17",2,"Ecuador",2006,67.8132531509428,14009061,17473563098.7586,5041.3337999674,0.0262199670885754
"18",2,"Ecuador",2007,91.9179881046897,14251835,18706315952.7718,5063.98447847376,0.00449299320479546
"19",2,"Ecuador",2008,113.542322486822,14496797,21407360397.5824,5294.89931349652,0.0455994357811216
"20",2,"Ecuador",2009,132.200429688703,14742766,19283902486.2309,5236.0536835699,-0.0111136447442209
"21",2,"Ecuador",2010,139.696996281084,14989585,22142567323.7796,5331.38377418858,0.0182064769346835
"22",2,"Ecuador",2011,161.027943273433,15237728,22949977800.5344,5657.21301645404,0.0611153231629908
